Branch,Type,oRegName,Bank,DueDate,Payment
Bohol,Cash,F01061-RUDILYN STORE (BOOKING),,,23692.39
Bohol,Cash,F01103-HARRY`S GEN MDSE. (BOOK,,,1222.4
Bohol,Cash,F01193-PREMIE`S STORE(BOOKING),,,24623.49
Bohol,Cash,F151023-PEDIA\S MINIMART,,,8583.53
Bohol,Cash,F16037-ELDIE STORE,,,15240.46
Bohol,Cash,F21590-LOBOC MARKETING,,,8756.64
Bohol,Check,F01070-JMR AGRIVET SUPPLY &MM(,BC-845,2/22/11,30321.72
Bohol,Check,F01164-DLCH CANTEEN (BOOKING),WB-0199720,2/21/11,3375.54
Bohol,Check,F13029-J & N PHARMACY (BOOKING,FCB-1000754711,02/22/11,126198.89
Bohol,Check,F13103-CELLACAY PHARMACY,FCB-1000843308,2/22/11,25838.3
Bohol,Check,F13115-ALVIN STORE (BOOKING),FCB-1000750849,02/22/11,17689.54
Sogod,Check,1FSL587-APRA TRADING,AL-50317,2/22/11,231028.2
Catarman,Cash,1000083-PAOLO STORE,,,26610.85
Catarman,Check,1FN0138-ATLANTA MKTG./PACIFIC,RCBC-285453,2/21/2011,362450.01
Catarman,Check,1FN0165-SANVIC (SV TRADING),MTBK-368542,2/21/2011,271782.95
